id,date,round,teamHome,scoreTeamHome,teamAway,scoreTeamAway,,image
1787174,2023-04-15,Round 1,Palmeiras,2,Cuiaba,1,,https://r2.thesportsdb.com/images/media/event/thumb/dwliis1644935584.jpg
1787181,2023-04-15,Round 1,America MG,0,Fluminense,3,,https://r2.thesportsdb.com/images/media/event/thumb/2qr2e71644935569.jpg
1787173,2023-04-15,Round 1,Botafogo RJ,2,Sao Paulo,1,,https://r2.thesportsdb.com/images/media/event/thumb/87xist1644935570.jpg
1787176,2023-04-15,Round 1,Bragantino,2,Bahia,1,,https://r2.thesportsdb.com/images/media/event/thumb/66dngr1601404074.jpg
1787179,2023-04-15,Round 1,Atletico PR,2,Goias,0,,https://r2.thesportsdb.com/images/media/event/thumb/jqenjx1644935639.jpg
1787180,2023-04-15,Round 1,Fortaleza,1,Internacional,1,,https://r2.thesportsdb.com/images/media/event/thumb/7dzwdb1644935597.jpg
1787177,2023-04-16,Round 1,Atletico MG,1,Vasco da Gama,2,,https://r2.thesportsdb.com/images/media/event/thumb/bstjic1676626724.jpg
1787172,2023-04-16,Round 1,Flamengo,3,Coritiba,0,,https://r2.thesportsdb.com/images/media/event/thumb/w4cjmw1644935584.jpg
1787175,2023-04-16,Round 1,Corinthians,2,Cruzeiro,1,,https://r2.thesportsdb.com/images/media/event/thumb/3m8j9k1676626723.jpg
1787178,2023-04-16,Round 1,Gremio,1,Santos FC,0,,https://r2.thesportsdb.com/images/media/event/thumb/3maz2s1624619743.jpg
1787182,2023-04-22,Round 2,Fluminense,2,Atletico PR,0,,https://r2.thesportsdb.com/images/media/event/thumb/ugqdbo1644935552.jpg
1787184,2023-04-22,Round 2,Sao Paulo,3,America MG,0,,https://r2.thesportsdb.com/images/media/event/thumb/pj7zwq1644935567.jpg
1787191,2023-04-22,Round 2,Cuiaba,1,Bragantino,1,,https://r2.thesportsdb.com/images/media/event/thumb/n325331644935568.jpg
